date,close,diff,open,high,low,volume
2006.07.04,3645.0,745.0,4285.0,4925.0,3645.0,5511212.0
2006.07.05,3635.0,10.0,3450.0,3865.0,3360.0,949355.0
2006.07.06,3415.0,220.0,3635.0,3760.0,3345.0,551714.0
2006.07.07,3175.0,240.0,3450.0,3570.0,3175.0,618861.0
2006.07.10,2930.0,245.0,3110.0,3200.0,2895.0,651681.0
2006.07.11,2955.0,25.0,2960.0,3110.0,2950.0,630448.0
2006.07.12,2905.0,50.0,2990.0,3005.0,2865.0,438279.0
2006.07.13,2750.0,155.0,2855.0,2870.0,2740.0,384038.0
2006.07.14,2790.0,40.0,2730.0,2900.0,2660.0,383261.0
2006.07.18,2640.0,150.0,2725.0,2890.0,2640.0,352312.0
2006.07.19,3035.0,395.0,2750.0,3035.0,2730.0,1208669.0
2006.07.20,3080.0,45.0,3170.0,3250.0,2980.0,1600969.0
2006.07.21,3160.0,80.0,3060.0,3450.0,2975.0,2206154.0
2006.07.24,3285.0,125.0,3160.0,3350.0,3055.0,869610.0
2006.07.25,3040.0,245.0,3340.0,3350.0,3040.0,598519.0
2006.07.26,2960.0,80.0,3000.0,3065.0,2850.0,459072.0
2006.07.27,3020.0,60.0,3090.0,3305.0,3010.0,1226538.0
2006.07.28,2915.0,105.0,2990.0,3130.0,2900.0,360505.0
2006.07.31,2910.0,5.0,2960.0,2975.0,2855.0,226397.0
2006.08.01,2765.0,145.0,2885.0,2950.0,2765.0,184808.0
2006.08.02,2850.0,85.0,2760.0,2920.0,2750.0,195945.0
2006.08.03,2785.0,65.0,2870.0,2895.0,2770.0,141984.0
2006.08.04,2995.0,210.0,2785.0,3010.0,2775.0,283377.0
2006.08.07,2950.0,45.0,3025.0,3040.0,2875.0,185032.0
2006.08.08,3390.0,440.0,2960.0,3390.0,2795.0,1464527.0
2006.08.09,3895.0,505.0,3500.0,3895.0,3495.0,1704171.0
2006.08.10,4475.0,580.0,4125.0,4475.0,4125.0,1379221.0
2006.08.11,4500.0,25.0,4800.0,5140.0,4110.0,3042412.0
2006.08.14,3825.0,675.0,4690.0,4790.0,3825.0,1968736.0
2006.08.16,4000.0,175.0,3800.0,4180.0,3550.0,2729595.0
2006.08.17,3835.0,165.0,3900.0,4225.0,3740.0,2186969.0
2006.08.18,3800.0,35.0,3870.0,4150.0,3715.0,1247152.0
2006.08.21,3535.0,265.0,3770.0,3865.0,3535.0,791012.0
2006.08.22,3745.0,210.0,3595.0,3845.0,3500.0,1230922.0
2006.08.23,3500.0,245.0,3785.0,3845.0,3500.0,676626.0
2006.08.24,3480.0,20.0,3505.0,3755.0,3285.0,1306007.0
2006.08.25,3390.0,90.0,3480.0,3630.0,3350.0,663034.0
2006.08.28,3255.0,135.0,3425.0,3435.0,3235.0,419676.0
2006.08.29,3400.0,145.0,3285.0,3460.0,3270.0,635464.0
2006.08.30,3590.0,190.0,3460.0,3590.0,3305.0,640624.0
2006.08.31,3385.0,205.0,3605.0,3615.0,3370.0,645160.0
2006.09.01,3360.0,25.0,3385.0,3460.0,3305.0,676263.0
2006.09.04,3480.0,120.0,3390.0,3495.0,3355.0,613683.0
2006.09.05,3670.0,190.0,3560.0,4000.0,3550.0,3434281.0
