년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018-06-05,"111,500","3,500","477,854","52,780,486,000","108,000","112,000","107,000","8,505,234","76,280,122"
2018-06-04,"108,000","3,500","432,581","46,332,998,500","104,000","108,500","104,000","8,238,253","76,280,122"
2018-06-01,"104,500","1,000","452,021","47,524,278,500","103,500","107,000","103,500","7,971,273","76,280,122"
2018-05-31,"103,500",-500,"470,392","48,960,578,000","104,500","106,000","103,000","7,894,993","76,280,122"
2018-05-30,"104,000","-4,000","600,575","63,090,599,500","107,000","107,500","103,500","7,933,133","76,280,122"
2018-05-29,"108,000",0,"318,837","34,623,796,500","108,000","110,000","107,500","8,238,253","76,280,122"
2018-05-28,"108,000","-4,000","679,442","74,051,292,500","111,000","111,500","108,000","8,238,253","76,280,122"
2018-05-25,"112,000","-1,000","257,170","28,894,709,500","112,000","114,000","111,500","8,543,374","76,280,122"
2018-05-24,"113,000",500,"208,135","23,485,977,500","112,000","114,000","112,000","8,619,654","76,280,122"
2018-05-23,"112,500","-1,000","285,620","32,258,303,500","113,000","114,500","112,500","8,581,514","76,280,122"
2018-05-21,"113,500",0,"176,761","20,078,714,000","113,500","114,500","112,500","8,657,794","76,280,122"
2018-05-18,"113,500","-3,000","819,348","93,815,485,500","118,500","119,000","112,500","8,657,794","76,280,122"
2018-05-17,"116,500",-500,"338,096","39,608,366,000","117,500","118,500","116,000","8,886,634","76,280,122"
2018-05-16,"117,000","2,500","466,027","53,846,263,000","114,500","117,000","113,500","8,924,774","76,280,122"
2018-05-15,"114,500","1,500","320,939","36,577,031,000","112,000","115,000","112,000","8,734,074","76,280,122"
2018-05-14,"113,000","-4,000","657,566","74,312,967,000","114,500","116,000","111,000","8,619,654","76,280,122"
2018-05-11,"117,000",0,"367,532","42,856,667,000","117,500","118,000","116,000","8,924,774","76,280,122"
2018-05-10,"117,000","4,000","840,339","97,757,256,500","113,000","118,000","111,000","8,924,002","76,273,522"
2018-05-09,"113,000","1,000","332,320","37,194,006,000","111,000","113,000","110,500","8,618,908","76,273,522"
2018-05-08,"112,000",0,"331,690","37,116,478,000","112,000","113,000","110,000","8,542,634","76,273,522"
2018-05-04,"112,000","-1,500","251,346","28,226,017,500","113,000","113,500","111,500","8,542,634","76,273,522"
2018-05-03,"113,500","-1,000","350,536","40,212,888,000","114,500","116,500","113,000","8,657,045","76,273,522"
2018-05-02,"114,500","3,500","526,839","59,154,058,000","110,500","114,500","109,500","8,733,318","76,273,522"
2018-04-30,"111,000","-2,500","618,640","68,622,188,000","113,500","114,000","110,000","8,466,361","76,273,522"
2018-04-27,"113,500",-500,"402,728","45,723,461,196","115,000","115,500","112,000","8,657,045","76,273,522"
2018-04-26,"114,000","-1,500","366,727","42,211,190,000","116,500","117,500","113,500","8,695,182","76,273,522"
2018-04-25,"115,500",500,"607,008","70,678,451,000","115,500","119,000","113,500","8,809,592","76,273,522"
2018-04-24,"115,000","4,000","473,979","53,943,818,000","112,000","115,500","111,000","8,771,455","76,273,522"
2018-04-23,"111,000","-4,000","669,590","75,029,693,000","114,500","114,500","111,000","8,466,361","76,273,522"
2018-04-20,"115,000","-1,500","650,463","74,720,930,500","116,500","117,500","113,500","8,771,455","76,273,522"
2018-04-19,"116,500","-3,000","648,909","75,933,605,000","119,000","119,000","116,000","8,885,865","76,273,522"
2018-04-18,"119,500","1,500","495,833","59,476,501,500","120,000","121,500","118,500","9,114,686","76,273,522"
2018-04-17,"118,000","1,000","399,502","47,321,337,000","117,500","120,000","117,500","9,000,276","76,273,522"
2018-04-16,"117,000","-3,500","815,062","95,777,988,500","120,500","120,500","116,500","8,924,002","76,273,522"
2018-04-13,"120,500",500,"368,169","44,295,473,000","120,500","122,000","119,500","9,190,959","76,273,522"
2018-04-12,"120,000","-1,500","367,434","44,370,993,000","122,000","122,500","120,000","9,152,823","76,273,522"
2018-04-11,"121,500","-1,000","379,388","46,694,877,000","124,000","125,000","121,000","9,267,233","76,273,522"
2018-04-10,"122,500","1,000","322,551","39,497,454,000","121,500","123,500","121,500","9,343,506","76,273,522"
2018-04-09,"121,500","-1,000","547,412","66,120,598,000","121,500","122,500","120,000","9,267,233","76,273,522"
2018-04-06,"122,500","-2,000","376,868","46,463,916,500","125,000","125,500","122,000","9,343,506","76,273,522"
2018-04-05,"124,500","1,000","299,168","37,412,452,000","125,000","126,000","124,000","9,496,053","76,273,522"
2018-04-04,"123,500","-5,000","730,140","91,332,925,500","129,000","129,000","123,500","9,419,348","76,270,022"
2018-04-03,"128,500",-500,"483,608","61,995,172,000","127,000","130,500","126,500","9,800,698","76,270,022"
2018-04-02,"129,000","-3,000","454,496","59,184,541,000","132,500","133,500","128,500","9,838,833","76,270,022"
2018-03-30,"132,000","2,500","447,866","59,205,209,000","131,500","133,500","130,000","10,067,643","76,270,022"
2018-03-29,"129,500",500,"437,532","56,358,113,000","129,500","131,000","126,500","9,876,968","76,270,022"
