년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018-06-05,"27,300",350,"911,917","24,982,061,450","27,150","27,750","26,850","5,840,576","213,940,500"
2018-06-04,"26,950",-50,"307,710","8,225,680,350","27,000","27,000","26,500","5,765,696","213,940,500"
2018-06-01,"27,000",150,"226,810","6,124,201,250","26,800","27,150","26,800","5,776,394","213,940,500"
2018-05-31,"26,850",50,"731,383","19,666,429,750","26,800","27,150","26,700","5,744,302","213,940,500"
2018-05-30,"26,800",-100,"443,841","11,864,901,900","26,800","27,250","26,500","5,733,605","213,940,500"
2018-05-29,"26,900",-100,"233,730","6,294,613,450","27,000","27,100","26,850","5,754,999","213,940,500"
2018-05-28,"27,000",-500,"351,817","9,520,064,200","27,500","27,600","26,950","5,776,394","213,940,500"
2018-05-25,"27,500",-100,"244,690","6,728,453,400","27,800","27,900","27,300","5,883,364","213,940,500"
2018-05-24,"27,600",150,"286,210","7,887,121,400","27,400","27,800","27,400","5,904,758","213,940,500"
2018-05-23,"27,450",-500,"426,265","11,766,210,150","27,700","27,900","27,450","5,872,667","213,940,500"
2018-05-21,"27,950",-200,"166,919","4,684,476,650","28,200","28,300","27,950","5,979,637","213,940,500"
2018-05-18,"28,150",200,"405,153","11,337,627,150","27,950","28,150","27,700","6,022,425","213,940,500"
2018-05-17,"27,950",350,"403,061","11,191,226,700","27,500","28,050","27,300","5,979,637","213,940,500"
2018-05-16,"27,600",-350,"431,546","11,917,868,750","28,000","28,050","27,500","5,904,758","213,940,500"
2018-05-15,"27,950",0,"393,840","10,994,481,650","27,900","28,100","27,750","5,979,637","213,940,500"
2018-05-14,"27,950",-700,"627,120","17,523,970,650","28,650","28,750","27,600","5,979,637","213,940,500"
2018-05-11,"28,650",0,"374,550","10,700,522,400","28,150","28,800","28,000","6,129,395","213,940,500"
2018-05-10,"28,650",0,"565,948","16,059,770,850","28,550","28,900","28,000","6,129,395","213,940,500"
2018-05-09,"28,650",-350,"270,384","7,777,606,450","29,200","29,200","28,500","6,129,395","213,940,500"
2018-05-08,"29,000",-50,"468,307","13,709,280,350","29,200","29,650","28,900","6,204,274","213,940,500"
2018-05-04,"29,050",-100,"567,701","16,483,077,750","29,150","29,200","28,650","6,214,972","213,940,500"
2018-05-03,"29,150",-100,"617,097","18,100,575,700","29,500","29,550","28,950","6,236,366","213,940,500"
2018-05-02,"29,250",350,"455,852","13,304,225,300","29,250","29,650","28,950","6,257,760","213,940,500"
2018-04-30,"28,900",-50,"295,825","8,522,040,550","28,800","29,050","28,550","6,182,880","213,940,500"
2018-04-27,"28,950",-50,"456,344","13,185,313,925","28,900","29,350","28,650","6,193,577","213,940,500"
2018-04-26,"29,000",-450,"575,419","16,898,906,950","29,750","30,000","28,900","6,204,274","213,940,500"
2018-04-25,"29,450",-100,"582,024","17,015,931,900","29,600","29,600","29,000","6,300,548","213,940,500"
2018-04-24,"29,550",800,"1,050,907","31,193,399,050","29,250","30,100","28,950","6,321,942","213,940,500"
2018-04-23,"28,750",0,"1,913,266","54,908,518,200","28,800","29,150","28,350","6,150,789","213,940,500"
2018-04-20,"28,750","1,150","1,890,896","54,257,118,950","28,000","28,950","28,000","6,150,789","213,940,500"
2018-04-19,"27,600",-200,"628,264","17,320,128,800","27,700","28,000","27,300","5,904,758","213,940,500"
2018-04-18,"27,800",700,"1,257,719","34,888,994,530","27,250","27,950","27,200","5,947,546","213,940,500"
2018-04-17,"27,100",650,"1,837,989","49,554,711,463","26,550","27,300","26,550","5,797,788","213,940,500"
2018-04-16,"26,450",350,"1,368,686","36,140,370,750","26,100","26,550","26,050","5,658,726","213,940,500"
2018-04-13,"26,100",-750,"1,503,329","39,249,188,400","26,800","26,850","25,750","5,583,847","213,940,500"
2018-04-12,"26,850",-350,"616,156","16,640,684,800","27,150","27,250","26,850","5,744,302","213,940,500"
