date,close,diff,open,high,low,volume
1996.06.25,7360.0,0.0,7600.0,7600.0,7320.0,40040.0
1996.06.26,7300.0,60.0,7370.0,7600.0,7300.0,39870.0
1996.06.27,7010.0,290.0,7110.0,7290.0,7010.0,31840.0
1996.06.28,7100.0,90.0,7000.0,7200.0,7000.0,21960.0
1996.06.29,6900.0,200.0,7200.0,7200.0,6850.0,14640.0
1996.07.01,7180.0,280.0,6800.0,7190.0,6800.0,16640.0
1996.07.02,7100.0,80.0,7180.0,7500.0,7100.0,24230.0
1996.07.03,7200.0,100.0,7120.0,7290.0,6950.0,18640.0
1996.07.04,7250.0,50.0,7300.0,7350.0,7100.0,25170.0
1996.07.05,7390.0,140.0,7300.0,7600.0,7100.0,24480.0
1996.07.06,7300.0,90.0,7300.0,7400.0,7250.0,15790.0
1996.07.08,7400.0,100.0,7300.0,7690.0,7150.0,41300.0
1996.07.09,7530.0,130.0,7500.0,7650.0,7500.0,49730.0
1996.07.10,7630.0,100.0,7600.0,7700.0,7500.0,39770.0
1996.07.11,7300.0,330.0,7630.0,7800.0,7300.0,42840.0
1996.07.12,7190.0,110.0,7250.0,7300.0,7110.0,22430.0
1996.07.13,7160.0,30.0,7100.0,7300.0,7100.0,19470.0
1996.07.15,6990.0,170.0,7200.0,7200.0,6900.0,15640.0
1996.07.16,6950.0,40.0,6900.0,7000.0,6800.0,19950.0
1996.07.18,6950.0,0.0,7000.0,7200.0,6950.0,17170.0
1996.07.19,7100.0,150.0,7000.0,7100.0,7000.0,17460.0
1996.07.20,7050.0,50.0,7090.0,7250.0,7000.0,15000.0
1996.07.22,7050.0,0.0,7070.0,7200.0,7000.0,25160.0
1996.07.23,7080.0,30.0,7050.0,7100.0,7000.0,14570.0
1996.07.24,7080.0,0.0,7080.0,7150.0,6960.0,14190.0
1996.07.25,7050.0,30.0,6910.0,7200.0,6900.0,27300.0
1996.07.26,7050.0,0.0,7190.0,7200.0,6970.0,30630.0
1996.07.27,7020.0,30.0,7100.0,7100.0,6950.0,18230.0
1996.07.29,7440.0,420.0,7150.0,7440.0,7150.0,51390.0
1996.07.30,7880.0,440.0,7850.0,7880.0,7650.0,173880.0
1996.07.31,8100.0,220.0,8000.0,8200.0,7910.0,146030.0
1996.08.01,8100.0,0.0,8090.0,8350.0,7810.0,132830.0
1996.08.02,7800.0,300.0,8300.0,8350.0,7800.0,68030.0
1996.08.03,7700.0,100.0,7700.0,7880.0,7700.0,51440.0
1996.08.05,7700.0,0.0,7430.0,7900.0,7430.0,46780.0
1996.08.06,7430.0,270.0,7700.0,7700.0,7300.0,28540.0
1996.08.07,7870.0,440.0,7500.0,7870.0,7450.0,48240.0
1996.08.08,7900.0,30.0,8200.0,8200.0,7900.0,93480.0
1996.08.09,7810.0,90.0,7800.0,8000.0,7700.0,18600.0
1996.08.10,7760.0,50.0,7700.0,7980.0,7700.0,18490.0
1996.08.12,8220.0,460.0,7900.0,8220.0,7660.0,41520.0
1996.08.13,8020.0,200.0,8330.0,8350.0,8010.0,55900.0
1996.08.14,7800.0,220.0,8050.0,8050.0,7800.0,26850.0
1996.08.16,7620.0,180.0,7700.0,7800.0,7570.0,27400.0
1996.08.17,7500.0,120.0,7550.0,7610.0,7500.0,14900.0
1996.08.19,7220.0,280.0,7410.0,7600.0,7150.0,28540.0
1996.08.20,7220.0,0.0,7250.0,7410.0,7220.0,23660.0
1996.08.21,7130.0,90.0,7150.0,7200.0,7020.0,21410.0
1996.08.22,7290.0,160.0,7050.0,7340.0,7050.0,22180.0
1996.08.23,7700.0,410.0,7300.0,7720.0,7300.0,26690.0
1996.08.24,7700.0,0.0,7700.0,7900.0,7700.0,40540.0
1996.08.26,7400.0,300.0,7700.0,7700.0,7300.0,11590.0
1996.08.27,7400.0,0.0,7210.0,7700.0,7210.0,18280.0
1996.08.28,7300.0,100.0,7400.0,7400.0,7210.0,9250.0
1996.08.29,7450.0,150.0,7300.0,7500.0,7200.0,24450.0
1996.08.30,7600.0,150.0,7500.0,7600.0,7300.0,23830.0
1996.08.31,7800.0,200.0,7710.0,7910.0,7600.0,30060.0
1996.09.02,7700.0,100.0,7800.0,7900.0,7610.0,27710.0
1996.09.03,8000.0,300.0,7720.0,8100.0,7660.0,96260.0
1996.09.04,8100.0,100.0,8100.0,8180.0,7800.0,91410.0
1996.09.05,7900.0,200.0,8000.0,8050.0,7850.0,42020.0
1996.09.06,8370.0,470.0,7900.0,8370.0,7900.0,209990.0
1996.09.07,8670.0,300.0,8500.0,8800.0,8470.0,186510.0
1996.09.09,8670.0,0.0,8660.0,8880.0,8500.0,172570.0
1996.09.10,8380.0,290.0,8800.0,8800.0,8380.0,132330.0
1996.09.11,8500.0,120.0,8300.0,8800.0,8300.0,112060.0
1996.09.12,8290.0,210.0,8500.0,8600.0,8200.0,55720.0
1996.09.13,8300.0,10.0,8310.0,8570.0,8100.0,91100.0
1996.09.14,8100.0,200.0,8400.0,8450.0,8100.0,35880.0
1996.09.16,8000.0,100.0,8010.0,8290.0,8000.0,29630.0
1996.09.17,8480.0,480.0,7890.0,8480.0,7890.0,100860.0
1996.09.18,8200.0,280.0,8580.0,8650.0,8100.0,58450.0
1996.09.19,8150.0,50.0,8250.0,8300.0,8110.0,46050.0
1996.09.20,7900.0,250.0,8300.0,8300.0,7900.0,35140.0
1996.09.21,7900.0,0.0,7850.0,8100.0,7700.0,27120.0
1996.09.23,8100.0,200.0,7610.0,8250.0,7610.0,57710.0
1996.09.24,7950.0,150.0,8150.0,8160.0,7850.0,40670.0
1996.09.25,8050.0,100.0,8000.0,8200.0,7950.0,63030.0
1996.09.30,8530.0,480.0,8200.0,8530.0,8100.0,59930.0
1996.10.01,9040.0,510.0,8810.0,9040.0,8800.0,239180.0
1996.10.02,9580.0,540.0,9500.0,9580.0,9450.0,88300.0
1996.10.04,9310.0,270.0,10100.0,10100.0,9310.0,371370.0
1996.10.05,9100.0,210.0,9200.0,9300.0,8900.0,109680.0
1996.10.07,9640.0,540.0,9250.0,9640.0,9250.0,17270.0
1996.10.08,10200.0,560.0,10200.0,10200.0,9950.0,173880.0
1996.10.09,10500.0,300.0,10200.0,10700.0,9900.0,257260.0
1996.10.10,10200.0,300.0,10500.0,10600.0,10000.0,80160.0
